,Goal,Set,Subset,Alg,learned,link,title,image_url
0,ZBLL,T,horizontal,(U2) F' R F R2 D' R U' R' D R2 F' R' F,True,http://google.com,Zbll T Horizontal: (U2) F' R F R2 D' R U' R' D R2 F' R' F,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) F' R F R2 D' R U' R' D R2 F' R' F
1,ZBLL,T,horizontal,R U2 R' U' R U' R2' U2 R U R' U R,True,google.com,Zbll T Horizontal: R U2 R' U' R U' R2' U2 R U R' U R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R U2 R' U' R U' R2' U2 R U R' U R
2,ZBLL,T,horizontal,(U') R U R' U R U2 R' U' R U2 R' U' R U' R',True,google.com,Zbll T Horizontal: (U') R U R' U R U2 R' U' R U2 R' U' R U' R',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U') R U R' U R U2 R' U' R U2 R' U' R U' R'
3,ZBLL,T,horizontal,R U2 R' U' R U' R' U R U R' U R U2 R',True,google.com,Zbll T Horizontal: R U2 R' U' R U' R' U R U R' U R U2 R',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R U2 R' U' R U' R' U R U R' U R U2 R'
4,ZBLL,T,horizontal,(U) R' F' U' F U' R U R2 F R F' U R,True,google.com,Zbll T Horizontal: (U) R' F' U' F U' R U R2 F R F' U R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U) R' F' U' F U' R U R2 F R F' U R
5,ZBLL,T,horizontal,R U' R2 F R F' R U' B U' B' U' R' ,True,google.com,Zbll T Horizontal: R U' R2 F R F' R U' B U' B' U' R' ,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=R U' R2 F R F' R U' B U' B' U' R' 
6,ZBLL,T,horizontal,x' D R U' R' D' R2 D2 R' U R D2 R2 x,True,google.com,Zbll T Horizontal: x' D R U' R' D' R2 D2 R' U R D2 R2 x,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=x' D R U' R' D' R2 D2 R' U R D2 R2 x
7,ZBLL,T,horizontal,(U2) R' U2 R U R' U R2 U2 R' U' R U' R',True,google.com,Zbll T Horizontal: (U2) R' U2 R U R' U R2 U2 R' U' R U' R',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) R' U2 R U R' U R2 U2 R' U' R U' R'
8,ZBLL,T,horizontal,(U2) R U' R' U2 R U R' U2 R U R' U R U' R',True,google.com,Zbll T Horizontal: (U2) R U' R' U2 R U R' U2 R U R' U R U' R',http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) R U' R' U2 R U R' U2 R U R' U R U' R'
9,ZBLL,T,horizontal,(U2) R' U2 R U R' U R U' R' U' R U' R' U2 R,True,google.com,Zbll T Horizontal: (U2) R' U2 R U R' U R U' R' U' R U' R' U2 R,http://cube.rider.biz/visualcube.php?fmt=svg&bg=silver&view=plan&stage=zbll&case=(U2) R' U2 R U R' U R U' R' U' R U' R' U2 R
